Global ID,Site Name,State/Circle,District,Cluster,Alarm On-Site,Alarm Start Time,Alarm End Time,Duration (HH:MM:SS),Battery Start Volt,Battery End Volt,Temp.,IMEI,Site Running ON,Energy Start Time,Energy End Time,Acknowledge
ST-KOL-LMAC-001,HOWRAH DASNAGAR_71,West Bengal,Kolkata,Kolkata,Mains Failed,16-03-2026 23:13,17-03-2026 02:06,02:53:13,0,0,0,'861919084310183,SOEB,16-03-2026 00:00,17-03-2026 00:00,"Level-1, Status-DIALING, Number-9800291987; Level-2, Status-DIALING, Number-7003719849"
ST-KOL-HPSC-010,Maheshtala 2,West Bengal,Kolkata,Kolkata,Fiber cut,16-03-2026 21:15,Alarm is Active,-,98.2,-,0,'867950079196091,SOBT,16-03-2026 00:00,17-03-2026 00:00,"Level-1, Status-DIALING, Number-9800291987; Level-2, Status-DIALING, Number-7003719849"
ST-KOL-LMAC-001,HOWRAH DASNAGAR_71,West Bengal,Kolkata,Kolkata,Mains Failed,16-03-2026 21:12,16-03-2026 23:09,01:56:35,0,0,0,'861919084310183,SOEB,16-03-2026 00:00,17-03-2026 00:00,"Level-1, Status-DIALING, Number-9800291987; Level-2, Status-DIALING, Number-7003719849"
ST-DELHI-MACRO-010,NOD_Sector 141_2,Delhi,Noida,Noida,Mains Failed,16-03-2026 19:22,16-03-2026 19:33,00:10:33,54.58,48.66,0,'866082076631002,SOEB,16-03-2026 00:00,17-03-2026 00:00,"Level-1, Status-No.Block by Server, Number-9717185678; Level-2, Status-No.Block by Server, Number-8395061400"
ST-DELHI-MACRO-22,SECTOR 39 GGN_3,Delhi,Delhi,Delhi,Mains Failed,16-03-2026 19:07,16-03-2026 19:17,00:09:30,50.08,49.27,0,'866082076647669,SOEB,16-03-2026 00:00,17-03-2026 00:00,"Level-1, Status-No.Block by Server, Number-8395061400; Level-2, Status-No.Block by Server, Number-8395061400"
STPL-KA-BGLR-OD-033,MTP-Silver Oak (E2),Karnataka,Bangalore,Bangalore,Mains Failed,16-03-2026 18:25,16-03-2026 18:27,00:02:09,0,0,0,'866082076609081,SOEB,16-03-2026 00:00,17-03-2026 00:00,"Level-1, Status-DIALING, Number-9483795832; Level-2, Status-DIALING, Number-9483795832"
ST-DELHI-HPSC-250,HPSC_BADARPUR_KALKAJI_2,Delhi,Faridabad,Faridabad,Fiber cut,16-03-2026 18:14,Alarm is Active,-,53.6,-,0,'861919084309706,SOEB,16-03-2026 17:13,17-03-2026 00:00,"Level-1, Status-No.Block by Server, Number-6392031410; Level-2, Status-No.Block by Server, Number-8395061400"
STPL-KA-BGLR-OD-033,MTP-Silver Oak (E2),Karnataka,Bangalore,Bangalore,Mains Failed,16-03-2026 16:58,16-03-2026 17:01,00:02:51,0,0,0,'866082076609081,SOEB,16-03-2026 00:00,17-03-2026 00:00,"Level-1, Status-DIALING, Number-9483795832; Level-2, Status-DIALING, Number-9483795832"
ST-DELHI-HPSC-250,HPSC_BADARPUR_KALKAJI_2,Delhi,Faridabad,Faridabad,Fiber cut,16-03-2026 16:54,16-03-2026 16:58,00:04:12,0,0,0,'861919084309706,SOEB,16-03-2026 16:53,16-03-2026 17:10,"Level-1, Status-No.Block by Server, Number-6392031410; Level-2, Status-No.Block by Server, Number-8395061400"
STPL-KA-BGLR-OD-033,MTP-Silver Oak (E2),Karnataka,Bangalore,Bangalore,Mains Failed,16-03-2026 16:53,16-03-2026 16:54,00:00:34,0,0,0,'866082076609081,SOEB,16-03-2026 00:00,17-03-2026 00:00,"Level-1, Status-DIALING, Number-9483795832; Level-2, Status-DIALING, Number-9483795832"
STPL-KA-BGLR-OD-033,MTP-Silver Oak (E2),Karnataka,Bangalore,Bangalore,Mains Failed,16-03-2026 16:52,16-03-2026 16:53,00:00:54,0,0,0,'866082076609081,SOEB,16-03-2026 00:00,17-03-2026 00:00,"Level-1, Status-DIALING, Number-9483795832; Level-2, Status-DIALING, Number-9483795832"
STPL-KA-BGLR-OD-033,MTP-Silver Oak (E2),Karnataka,Bangalore,Bangalore,Mains Failed,16-03-2026 16:49,16-03-2026 16:51,00:02:03,0,0,0,'866082076609081,SOEB,16-03-2026 00:00,17-03-2026 00:00,"Level-1, Status-NO DIALTONE, Number-9483795832; Level-2, Status-NO DIALTONE, Number-9483795832"
ST-GUJ-MACRO-045,RIDDHISIDDHISQUAREKADI,Gujrat,Mehsana,Mehsana,L LVD Cut,16-03-2026 16:29,16-03-2026 16:37,00:07:17,53.85,1.92,0,'861919084259026,SOEB,16-03-2026 00:00,17-03-2026 00:00,"Level-1, Status-NO DIALTONE, Number-9106296546; Level-2, Status-NO DIALTONE, Number-8980445100"
ST-DELHI-HPSC-232,HPSC_Zaildar Enclave_Hastsal_1,Delhi,Delhi,Delhi,L LVD Cut,16-03-2026 16:26,17-03-2026 14:16,21:50:33,53,53,0,'861919084309466,SOEB,16-03-2026 00:00,17-03-2026 00:00,"Level-1, Status-DIALING, Number-9315997041; Level-2, Status-DIALING, Number-8395061400"
ST-DELHI-MACRO-010,NOD_Sector 141_2,Delhi,Noida,Noida,Mains Failed,16-03-2026 16:07,16-03-2026 16:12,00:04:11,49.62,49.62,0,'866082076631002,SOEB,16-03-2026 00:00,17-03-2026 00:00,"Level-1, Status-No.Block by Server, Number-9717185678; Level-2, Status-No.Block by Server, Number-8395061400"
