S.No.,Global ID,Site Name,State/Circle,District,Cluster,Alarm On-Site,Alarm Start Time,Alarm End Time,Duration (HH:MM:SS),Battery Start Volt,Battery End Volt,Temp.,IMEI,Site Running ON,Energy Start Time,Energy End Time,Acknowledge
1,ST-MUM-HPSC-0043,Zulfekhar Ahmad Siddique,Mumbai,Mumbai,MUMBAI,BTLV,2026-04-10 23:50:25,2026-04-11 00:30:47,00:40:22,47.35,48.71,0.00,'861919084338937,SOBT,2026-04-10 23:49:45,2026-04-11 00:00:00,"Level-1, Status-No.Block by Server, Number-8433656064; Level-2, Status-No.Block by Server, Number-8097618466"
2,ST-MUM-HPSC-0043,Zulfekhar Ahmad Siddique,Mumbai,Mumbai,MUMBAI,AM MNSF,2026-04-10 23:49:45,2026-04-11 00:30:47,00:41:02,49.28,48.71,0.00,'861919084338937,SOBT,2026-04-10 23:49:45,2026-04-11 00:00:00,"Level-1, Status-No.Block by Server, Number-8433656064; Level-2, Status-No.Block by Server, Number-8097618466; Level-3, Status-No.Block by Server, Number-8108779091"
3,ST-MAH-OD-0007,Sahyadri Mangal Karyalaya,Maharashtra,Vasai,Vasai,AM MNSF,2026-04-10 23:49:28,2026-04-10 23:54:46,00:05:18,50.00,50.57,0.00,'861919084338184,SOBT,2026-04-10 23:49:28,2026-04-10 23:54:46,"Level-1, Status-DIALING, Number-9833144457; Level-2, Status-DIALING, Number-9975894886; Level-3, Status-DIALING, Number-8888806810"
4,ST-UPE-HPSC-008,Becongunj New,UP East,Kanpur,Kanpur,AM MNSF,2026-04-10 23:48:33,2026-04-10 23:51:07,00:02:34,51.60,50.50,0.00,'866082076647594,SOBT,2026-04-10 23:48:33,2026-04-10 23:51:07,"Level-1, Status-No.Block by Server, Number-9936837499; Level-2, Status-No.Block by Server, Number-9140864299; Level-3, Status-No.Block by Server, Number-8767249333"
5,ST-MAH-OD-0007,Sahyadri Mangal Karyalaya,Maharashtra,Vasai,Vasai,AM MNSF,2026-04-10 23:38:51,2026-04-10 23:49:17,00:10:26,50.28,52.28,0.00,'861919084338184,SOBT,2026-04-10 23:38:51,2026-04-10 23:49:17,"Level-1, Status-DIALING, Number-9833144457; Level-2, Status-DIALING, Number-9975894886; Level-3, Status-DIALING, Number-8888806810"
6,ST-MAH-OD-0017,Valpada Dapode Bhiwandi,Maharashtra,Vasai,THANE,AM MNSF,2026-04-10 23:38:49,2026-04-11 00:11:56,00:33:07,49.92,49.70,0.00,'861919084337954,SOBT,2026-04-10 23:38:49,2026-04-11 00:00:00,"Level-1, Status-DIALING, Number-9833144457; Level-2, Status-DIALING, Number-9975894886; Level-3, Status-DIALING, Number-8888806810"
7,ST-DELHI-HPSC-186,HPSC_Sector 63 Noida,Delhi,Noida,Noida,BTLV,2026-04-10 23:22:42,2026-04-10 23:24:09,00:01:27,47.60,50.00,0.00,'861919084261865,SOEB,2026-04-10 23:22:42,2026-04-11 00:00:00,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400; Level-3, Status-No.Block by Server, Number-6397156643"
8,ST-DELHI-HPSC-186,HPSC_Sector 63 Noida,Delhi,Noida,Noida,AM MNSF,2026-04-10 23:21:42,2026-04-10 23:22:42,00:01:00,48.10,47.60,0.00,'861919084261865,SOBT,2026-04-10 23:21:42,2026-04-10 23:22:42,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400; Level-3, Status-No.Block by Server, Number-6397156643"
9,ST-DELHI-HPSC-250,HPSC_BADARPUR_KALKAJI_2,Delhi,Faridabad,Faridabad,AM MNSF,2026-04-10 23:18:27,2026-04-11 02:57:09,03:38:42,51.30,49.80,0.00,'861919084309706,SOBT,2026-04-10 23:18:27,2026-04-11 00:00:00,"Level-1, Status-DIALING, Number-6392031410; Level-2, Status-DIALING, Number-8395061400; Level-3, Status-DIALING, Number-6397156643"
10,ST_MUM_HPSC_0067,Vinod Panchal Industrial Estate,Mumbai,Mumbai,MUMBAI,AM MNSF,2026-04-10 23:16:40,2026-04-10 23:17:08,00:00:28,53.70,53.20,0.00,'867950079198139,SOBT,2026-04-10 23:16:40,2026-04-10 23:17:08,"Level-1, Status-DIALING, Number-9029208855; Level-2, Status-DIALING, Number-8097618466; Level-3, Status-DIALING, Number-8108779091"
11,ST-DELHI-HPSC-271,HPSC_Yaseen Masjid Wali Gali_Loni,Delhi,Ghaziabad,Ghaziabad,AM MNSF,2026-04-10 23:08:16,2026-04-10 23:14:17,00:06:01,51.30,50.10,0.00,'861919084271385,SOBT,2026-04-10 23:08:16,2026-04-10 23:14:17,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400; Level-3, Status-No.Block by Server, Number-6397156643"
12,ST-MAH-OD-0007,Sahyadri Mangal Karyalaya,Maharashtra,Vasai,Vasai,AM MNSF,2026-04-10 23:02:21,2026-04-10 23:38:17,00:35:56,50.70,52.28,0.00,'861919084338184,SOBT,2026-04-10 23:02:21,2026-04-10 23:38:17,"Level-1, Status-DIALING, Number-9833144457; Level-2, Status-DIALING, Number-9975894886; Level-3, Status-DIALING, Number-8888806810"
13,ST-MAH-OD-0041,Golani Naka Vasai East,Maharashtra,Vasai,Vasai.,AM MNSF,2026-04-10 22:56:50,2026-04-10 23:25:21,00:28:31,53.50,51.14,0.00,'861919084259612,SOBT,2026-04-10 22:56:50,2026-04-10 23:25:21,"Level-1, Status-DIALING, Number-9823982397; Level-2, Status-DIALING, Number-9823982397; Level-3, Status-DIALING, Number-8888806810"
14,ST-KOL-HPSC-009,Muchipara,West Bengal,Kolkata,Kolkata,AM MNSF,2026-04-10 22:54:26,2026-04-10 22:58:25,00:03:59,50.70,49.60,0.00,'861919084285195,SOBT,2026-04-10 22:54:26,2026-04-10 22:58:25,"Level-1, Status-No.Block by Server, Number-9800291987; Level-2, Status-No.Block by Server, Number-7003719849; Level-3, Status-No.Block by Server, Number-8515863762"
15,ST-MAH-OD-0007,Sahyadri Mangal Karyalaya,Maharashtra,Vasai,Vasai,AM MNSF,2026-04-10 22:51:48,2026-04-10 22:56:44,00:04:56,49.78,50.71,0.00,'861919084338184,SOBT,2026-04-10 22:51:48,2026-04-10 22:56:44,"Level-1, Status-DIALING, Number-9833144457; Level-2, Status-DIALING, Number-9975894886; Level-3, Status-DIALING, Number-8888806810"
16,ST_MUM_HPSC_0067,Vinod Panchal Industrial Estate,Mumbai,Mumbai,MUMBAI,AM MNSF,2026-04-10 22:47:14,2026-04-10 22:47:25,00:00:11,53.80,53.30,0.00,'867950079198139,SOBT,2026-04-10 22:47:14,2026-04-10 22:47:25,"Level-1, Status-DIALING, Number-9029208855; Level-2, Status-DIALING, Number-8097618466; Level-3, Status-DIALING, Number-8108779091"
17,ST-MAH-OD-0007,Sahyadri Mangal Karyalaya,Maharashtra,Vasai,Vasai,AM MNSF,2026-04-10 22:40:14,2026-04-10 22:45:09,00:04:55,52.28,49.50,0.00,'861919084338184,SOBT,2026-04-10 22:40:14,2026-04-10 22:45:09,"Level-1, Status-NO DIALTONE, Number-9833144457; Level-2, Status-No.Block by Server, Number-9975894886; Level-3, Status-No.Block by Server, Number-8888806810"
18,ST-DELHI-HPSC-188,HPSC_Sector 63 A_3,Delhi,Noida,Noida,AM MNSF,2026-04-10 22:33:35,2026-04-10 22:37:38,00:04:03,50.80,51.60,0.00,'866082076638031,SOBT,2026-04-10 22:33:35,2026-04-10 22:37:38,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400; Level-3, Status-No.Block by Server, Number-6397156643"
19,ST-KAR-MACRO-027,Chikkanna Bldg,Karnataka,Bangalore,Bangalore,AM MNSF,2026-04-10 22:33:08,2026-04-10 22:52:32,00:19:24,52.07,50.52,0.00,'866082076646174,SOBT,2026-04-10 22:33:08,2026-04-10 22:52:32,"Level-1, Status-DIALING, Number-9483795832; Level-2, Status-DIALING, Number-9483795832; Level-3, Status-DIALING, Number-9845460610"
20,ST-MAH-OD-0007,Sahyadri Mangal Karyalaya,Maharashtra,Vasai,Vasai,AM MNSF,2026-04-10 22:29:22,2026-04-10 22:34:13,00:04:51,50.70,49.50,0.00,'861919084338184,SOBT,2026-04-10 22:29:22,2026-04-10 22:34:13,"Level-1, Status-DIALING, Number-9833144457; Level-2, Status-DIALING, Number-9975894886; Level-3, Status-DIALING, Number-8888806810"
21,ST-DELHI-HPSC-188,HPSC_Sector 63 A_3,Delhi,Noida,Noida,AM MNSF,2026-04-10 22:16:26,2026-04-10 22:24:28,00:08:02,50.40,51.50,0.00,'866082076638031,SOBT,2026-04-10 22:16:26,2026-04-10 22:24:28,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400; Level-3, Status-No.Block by Server, Number-6397156643"
22,ST-KAR-HPSC-004,Murulesh Bldg,Karnataka,Bangalore,Bangalore,AM MNSF,2026-04-10 22:09:43,2026-04-10 22:13:50,00:04:07,51.70,51.60,0.00,'866082076649962,SOBT,2026-04-10 22:09:43,2026-04-10 22:13:50,"Level-1, Status-NO DIALTONE, Number-9483795832; Level-2, Status-NO DIALTONE, Number-9483795832; Level-3, Status-NO DIALTONE, Number-9845460610"
23,ST-DELHI-HPSC-191,HPSC Parsvnath Exotica Sector531,Delhi,Gurgaon,Gurgaon,AM MNSF,2026-04-10 22:05:05,2026-04-10 22:05:31,00:00:26,53.90,53.90,0.00,'867950079195432,SOBT,2026-04-10 22:05:05,2026-04-10 22:05:31,"Level-1, Status-No.Block by Server, Number-8395061400; Level-2, Status-No.Block by Server, Number-8395061400; Level-3, Status-No.Block by Server, Number-6397156643"
24,ST-DELHI-HPSC-322,HPSC_GBD_Partap_Vihar_Khora,Delhi,Ghaziabad,Ghaziabad,AM MNSF,2026-04-10 22:03:59,2026-04-10 22:28:22,00:24:23,52.00,50.10,0.00,'861919084283281,SOBT,2026-04-10 22:03:59,2026-04-10 22:28:22,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400; Level-3, Status-No.Block by Server, Number-6397156643"
25,ST-DELHI-HPSC-037,HPSC_NoidaSECTOR22Dadri_1,Delhi,Noida,Noida,AM MNSF,2026-04-10 21:56:21,2026-04-10 22:02:26,00:06:05,54.50,49.40,0.00,'861919084308393,SOBT,2026-04-10 21:56:21,2026-04-10 22:02:26,"Level-1, Status-No.Block by Server, Number-9717185678; Level-2, Status-No.Block by Server, Number-8395061400; Level-3, Status-No.Block by Server, Number-6397156643"
26,ST-MAH-OD-0007,Sahyadri Mangal Karyalaya,Maharashtra,Vasai,Vasai,AM MNSF,2026-04-10 21:53:31,2026-04-10 22:23:50,00:30:19,49.78,50.42,0.00,'861919084338184,SOBT,2026-04-10 21:53:31,2026-04-10 22:23:50,"Level-1, Status-DIALING, Number-9833144457; Level-2, Status-DIALING, Number-9975894886; Level-3, Status-DIALING, Number-8888806810"
27,ST-MAH-OD-0007,Sahyadri Mangal Karyalaya,Maharashtra,Vasai,Vasai,AM MNSF,2026-04-10 21:42:37,2026-04-10 21:47:07,00:04:30,49.92,49.50,0.00,'861919084338184,SOBT,2026-04-10 21:42:37,2026-04-10 21:47:07,"Level-1, Status-DIALING, Number-9833144457; Level-2, Status-DIALING, Number-9975894886; Level-3, Status-DIALING, Number-8888806810"
28,ST_MUM_HPSC_0071,Mannan Colony,Mumbai,Mumbai,MUMBAI,BTLV,2026-04-10 21:35:22,2026-04-10 21:46:13,00:10:51,47.40,48.30,0.00,'867950079196018,SOEB,2026-04-10 21:30:30,2026-04-11 00:00:00,"Level-1, Status-DIALING, Number-7208501421; Level-2, Status-DIALING, Number-8097618466"
29,ST-MAH-OD-0007,Sahyadri Mangal Karyalaya,Maharashtra,Vasai,Vasai,AM MNSF,2026-04-10 21:31:14,2026-04-10 21:36:51,00:05:37,50.00,50.64,0.00,'861919084338184,SOBT,2026-04-10 21:31:14,2026-04-10 21:36:51,"Level-1, Status-DIALING, Number-9833144457; Level-2, Status-DIALING, Number-9975894886; Level-3, Status-DIALING, Number-8888806810"
