"S.No.","Site ID","Site Name","State/Circle","H1","H2","ID","IMEI No","Mobile No","I&C Date","Battery","Battery (V)","Temp","Signal (dBm)","Last Communication","Aging"
1,"ST-DELHI-MACRO-021","Pocket C_Zulfe Bengal","Delhi","Noida","Noida","ST-DELHI-MACRO-021","867950079198279","5754111171249","2025-09-26","100AH, 100AH, 0, 0","51.46","0","53","2026-04-21 15:57:09","-28 Seconds Ago"
2,"ST-DELHI-HPSC-210","HPSC_Nizam Pur Rashid PurSaraswati Vihar_1","Delhi","Delhi","Delhi","ST-DELHI-HPSC-210","867950079195721","5754111158486","2025-10-15","100AH, 0, 0, 0","52.50","0","51","2026-04-21 15:57:50","-69 Seconds Ago"
3,"ST-UPE-HPSC-045","Sunderpur Chauraha","UP East","Varanasi","Varanasi","ST-UPE-HPSC-045","867950079197057","5754111158538","2025-09-15","0, 0, 0, 0","53.00","0","55","2026-04-21 15:57:08","-27 Seconds Ago"
4,"ST-UPE-HPSC-032","Sec-5 Vikas Nagar","UP East","Lucknow","Lucknow","ST-UPE-HPSC-032","866082076608455","5754111158570","2025-09-13","0, 0, 0, 0","53.00","0","51","2026-04-21 15:57:06","-25 Seconds Ago"
5,"ST-UPE-HPSC-006","Hanuman Chowk","UP East","Kanpur","Kanpur","ST-UPE-HPSC-006","867950079197016","5754111158462","2025-09-11","0, 0, 0, 0","53.00","0","87","2026-04-21 15:57:10","-29 Seconds Ago"
6,"ST-UPE-HPSC-047","Shivani Vihar Rd Abrar Nagar","UP East","Lucknow","Lucknow","ST-UPE-HPSC-047","866082076637645","5754111158408","2025-09-13","0, 0, 0, 0","53.00","0","81","2026-04-21 15:57:12","-31 Seconds Ago"
7,"ST_MUM_HPSC_0089","Gangai Niwas","Mumbai","Mumbai","MUMBAI","ST_MUM_HPSC_0089","866082076608398","5754111158645","2025-09-26","0, 0, 0, 0","53.00","0","59","2026-04-21 15:57:43","-62 Seconds Ago"
8,"ST_MUM_HPSC_0100","Shiv Sena Sakha","Mumbai","Mumbai","MUMBAI","ST_MUM_HPSC_0100","867950079196919","5755110579165","2025-09-27","0, 0, 0, 0","52.90","0","51","2026-04-21 15:57:36","-55 Seconds Ago"
9,"ST-DELHI-HPSC-015","HPSC_Gautampuri Awas_Badarpur_1","Delhi","Faridabad","Faridabad","ST-DELHI-HPSC-015","867950079195747","5754111171273","2025-09-28","100AH, 0, 0, 0","53.00","0","59","2026-04-21 15:57:13","-32 Seconds Ago"
10,"ST-DELHI-HPSC-216","HPSC_Khadda_Colony_Jaitpur_1","Delhi","Faridabad","Faridabad","ST-DELHI-HPSC-216","867950079198337","5754111158426","2025-10-17","100AH, 0, 0, 0","54.60","0","51","2026-04-21 15:57:07","-26 Seconds Ago"
11,"ST-KOL-HPSC-002","Chandannagar Club","West Bengal","Kolkata","Kolkata","ST-KOL-HPSC-002","867950079197008","5754111158395","2025-09-13","0, 0, 0, 0","53.00","0","51","2026-04-21 15:57:52","-71 Seconds Ago"
12,"ST-KOL-HPSC-005","PANCHPOTA SRIKHANDA","West Bengal","Kolkata","Kolkata","ST-KOL-HPSC-005","867950079196000","5754111158410","2025-09-25","0, 0, 0, 0","54.00","0","51","2026-04-21 15:57:07","-26 Seconds Ago"
13,"ST-KOL-LMAC-005","DANESH SEKH LANE","West Bengal","Kolkata","Kolkata","ST-KOL-LMAC-005","867950079194369","5754111158431","2025-09-23","0, 0, 0, 0","0.00","0","51","2026-04-21 15:57:19","-38 Seconds Ago"
14,"STPL-DELHI-HPSC-168","HPSC_Tigri_3","Delhi","Noida","Noida","STPL-DELHI-HPSC-168","866082076637959","5754111158388","2025-09-14","100AH, 0, 0, 0","53.00","0","51","2026-04-21 15:57:11","-30 Seconds Ago"
15,"ST-DELHI-HPSC-077","HPSC_VIKASPURIPatel Nagar_4","Delhi","Delhi","Delhi","ST-DELHI-HPSC-077","867950079195861","5754111158429","2025-11-10","100AH, 0, 0, 0","52.80","0","51","2026-04-21 15:57:35","-54 Seconds Ago"
16,"ST-DELHI-HPSC-188","HPSC_Sector 63 A_3","Delhi","Noida","Noida","ST-DELHI-HPSC-188","866082076638031","5754111158581","2025-09-09","100AH, 0, 0, 0","52.80","0","71","2026-04-21 15:57:54","-73 Seconds Ago"
17,"ST-DELHI-HPSC-191","HPSC Parsvnath Exotica Sector531","Delhi","Gurgaon","Gurgaon","ST-DELHI-HPSC-191","867950079195432","5754111158385","2025-10-11","100AH, 0, 0, 0","53.00","0","51","2026-04-21 15:57:52","-71 Seconds Ago"
18,"ST-DELHI-HPSC-007","HPSC_Firoz Gandhi Colony_Sector 51","Delhi","Faridabad","Faridabad","ST-DELHI-HPSC-007","867950079195408","5754111158407","2025-10-17","100AH, 0, 0, 0","54.00","0","51","2026-04-21 15:57:31","-50 Seconds Ago"
19,"ST-DELHI-HPSC-187","HPSC Chhijarsi & Bahlolpur Colony","Delhi","Noida","Noida","ST-DELHI-HPSC-187","867950079196851","5754111158392","2025-09-12","100AH, 0, 0, 0","49.00","0","51","2026-04-21 15:57:11","-30 Seconds Ago"
20,"ST-DELHI-HPSC-198","HPSC_Tilak NagarPatel Nagar_5","Delhi","Delhi","Delhi","ST-DELHI-HPSC-198","867950079194435","5754111158646","2025-09-18","100AH, 0, 0, 0","0.00","0","51","2026-04-21 15:57:06","-25 Seconds Ago"
21,"ST-DELHI-HPSC-194","Noida SECTOR 52 Dadri 2","Delhi","Noida","Noida","ST-DELHI-HPSC-194","867950079195705","5754111158384","2025-09-11","100AH, 0, 0, 0","53.00","0","51","2026-04-21 15:57:45","-64 Seconds Ago"
22,"ST-KAR-MACRO-024","Parvez house","Karnataka","Bangalore","Bangalore","ST-KAR-MACRO-024","866082076639617","5754111158651","2025-09-24","0, 0, 0, 0","0.00","0","51","2026-04-21 15:57:07","-26 Seconds Ago"
23,"ST-DELHI-HPSC-074","HPSC_Bahalolpur","Delhi","Noida","Noida","ST-DELHI-HPSC-074","861919082178004","5753110918778","2025-07-09","100AH, 0, 0, 0","53.64","0","59","2026-04-21 15:54:16","2 Minutes Ago"
24,"ST-DELHI-HPSC-079","HPSC_ Noida Sec 130Dadri_1","Delhi","Noida","Noida","ST-DELHI-HPSC-079","861919082023523","5754111064217","2025-07-10","100AH, 0, 0, 0","53.28","0","51","2026-04-21 15:54:54","1 Minutes Ago"
25,"ST-DELHI-HPSC-172","HPSC_Dadri_2","Delhi","Noida","Noida","ST-DELHI-HPSC-172","861919081971185","5754111064256","2025-07-11","100AH, 0, 0, 0","51.70","0","51","2026-04-21 15:55:43","58 Seconds Ago"
26,"ST-DELHI-HPSC-032","HPSC_Sector 7_2","Delhi","Noida","Noida","ST-DELHI-HPSC-032","861919081996885","5754111064240","2025-07-11","100Ah, 0, 0, 0","50.28","0","51","2026-04-21 15:57:18","-37 Seconds Ago"
27,"ST-DELHI-HPSC-087","HPSC_ Noida Sector 46Dadri_1","Delhi","Noida","Noida","ST-DELHI-HPSC-087","861919082178889","5754111064260","2025-07-11","100AH , 0, 0, 0","53.42","0","51","2026-04-21 15:55:30","1 Minutes Ago"
28,"ST-MAH-OD-0068","Ramtekdi Industrial Area","Maharashtra","Pune","Pune","ST-MAH-OD-0068","861919082016311","5754111438729","2026-03-09","100AH, 0, 0, 0","53.57","0","51","2026-04-21 15:57:06","-25 Seconds Ago"
29,"ST-MAH-OD-0066","Ganga Cypress Society Tathawade","Maharashtra","Pune","Pune","ST-MAH-OD-0066","861919082015818","5755110628222","2026-03-11","100 AH, 100Ah, 100Ah, 0","53.50","0","51","2026-04-21 15:56:05","36 Seconds Ago"
30,"ST-DELHI-MACRO-22","SECTOR 39 GGN_3","Delhi","Delhi","Delhi","ST-DELHI-MACRO-22","866082076647669","5754111158415","2025-10-11","100AH, 100AH, 0, 0","0.00","0","51","2026-04-21 15:57:13","-32 Seconds Ago"
31,"ST-KAR-MACRO-030","Saroja Bldg","Karnataka","Bangalore","Bangalore","ST-KAR-MACRO-030","867950079196760","5754111158629","2025-09-22","0, 0, 0, 0","49.99","0","51","2026-04-21 15:57:07","-26 Seconds Ago"
32,"ST-DELHI-HPSC-206","HPSC_MitraonNajafgarh_1","Delhi","Delhi","Delhi","ST-DELHI-HPSC-206","866082076608976","5754111171196","2025-10-16","100Ah, 0, 0, 0","53.00","0","51","2026-04-21 15:57:53","-72 Seconds Ago"
33,"STPL-KA-BGLR-OD-034","MTP-Palm F3","Karnataka","Bangalore","Bangalore","STPL-KA-BGLR-OD-034","861919081957234","5754111158652","2025-09-27","0, 0, 0, 0","53.92","0","51","2026-04-21 15:57:20","-39 Seconds Ago"
34,"ST_MUM_HPSC_0078","A S Enterprises","Mumbai","Mumbai","MUMBAI","ST_MUM_HPSC_0078","866082076609479","5754111158542","2025-09-28","0, 0, 0, 0","53.00","0","57","2026-04-21 15:57:10","-29 Seconds Ago"
