S.No.,Global ID,Site Name,State/Circle,District,Cluster,Alarm On-Site,Alarm Start Time,Alarm End Time,Duration (HH:MM:SS),Battery Start Volt,Battery End Volt,Temp.,IMEI,Site Running ON,Energy Start Time,Energy End Time,Acknowledge
1,ST-UPE-HPSC-050,Daheli Sujanpur,UP East,Kanpur,Kanpur,AM MNSF,2026-04-25 23:59:09,2026-04-26 00:22:42,00:23:33,49.35,48.64,0.00,'861919081952649,SOBT,2026-04-25 23:59:09,2026-04-26 00:00:00,"Level-1, Status-No.Block by Server, Number-9936837499; Level-2, Status-No.Block by Server, Number-9140864299; Level-3, Status-No.Block by Server, Number-8767249333"
2,ST-UPE-OD-0003,Barradevi,UP East,Kanpur,Kanpur,AM MNSF,2026-04-25 23:59:05,2026-04-26 00:13:05,00:14:00,47.85,50.42,0.00,'861919082057711,SOBT,2026-04-25 23:59:05,2026-04-26 00:00:00,"Level-1, Status-No.Block by Server, Number-9936837499; Level-2, Status-No.Block by Server, Number-9140864299; Level-3, Status-No.Block by Server, Number-8767249333"
3,ST-HPSC-NCR-074,HPSC_Crossing Republic Golf Course GBD_1,Delhi,Noida,Noida,BTLV,2026-04-25 23:58:07,2026-04-26 00:00:10,00:02:03,47.90,48.00,0.00,'861919084284875,SOBT,2026-04-25 23:45:25,2026-04-26 00:00:00,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400"
4,ST-UPE-HPSC-007,Mcrobetgunj,UP East,Kanpur,Kanpur,AM MNSF,2026-04-25 23:55:29,2026-04-26 00:11:30,00:16:01,50.10,50.10,0.00,'867950079195838,SOBT,2026-04-25 23:55:29,2026-04-26 00:00:00,"Level-1, Status-No.Block by Server, Number-9936837499; Level-2, Status-No.Block by Server, Number-9140864299; Level-3, Status-No.Block by Server, Number-8767249333"
5,ST-DELHI-HPSC-187,HPSC Chhijarsi & Bahlolpur Colony,Delhi,Noida,Noida,AM MNSF,2026-04-25 23:53:38,2026-04-25 23:56:20,00:02:42,51.90,51.30,0.00,'867950079196851,SOBT,2026-04-25 23:53:38,2026-04-25 23:56:20,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400; Level-3, Status-No.Block by Server, Number-6397156643"
6,ST-HPSC-NCR-074,HPSC_Crossing Republic Golf Course GBD_1,Delhi,Noida,Noida,AM MNSF,2026-04-25 23:45:25,2026-04-26 00:26:07,00:40:42,48.50,47.60,0.00,'861919084284875,SOBT,2026-04-25 23:45:25,2026-04-26 00:00:00,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400; Level-3, Status-No.Block by Server, Number-6397156643"
7,ST-UPE-HPSC-005,Juhi Lal Colony,UP East,Kanpur,Kanpur,AM MNSF,2026-04-25 23:42:16,2026-04-26 01:03:49,01:21:33,49.40,50.20,0.00,'866082076636472,SOBT,2026-04-25 23:42:16,2026-04-26 00:00:00,"Level-1, Status-No.Block by Server, Number-9936837499; Level-2, Status-No.Block by Server, Number-9140864299; Level-3, Status-No.Block by Server, Number-8767249333"
8,ST-DELHI-HPSC-322,HPSC_GBD_Partap_Vihar_Khora,Delhi,Ghaziabad,Ghaziabad,AM MNSF,2026-04-25 23:34:09,2026-04-26 11:18:11,11:44:02,56.10,46.80,0.00,'861919084283281,SOBT,2026-04-25 23:34:09,2026-04-26 00:00:00,"Level-1, Status-No.Block by Server, Number-8448102503; Level-2, Status-No.Block by Server, Number-8395061400; Level-3, Status-No.Block by Server, Number-6397156643"
9,ST-DELHI-HPSC-021,HPSC_Mithapur Extension_Mithapur,Delhi,Faridabad,Faridabad,BTLV,2026-04-25 23:32:21,2026-04-25 23:53:10,00:20:49,47.80,48.00,0.00,'866082076631010,SOEB,2026-04-25 16:42:08,2026-04-26 00:00:00,"Level-1, Status-DIALING, Number-6392031410; Level-2, Status-DIALING, Number-8395061400"
10,ST-DELHI-HPSC-264,HPSC_BALLABGARH SECTOR 1 FBD_4,Delhi,Faridabad,Faridabad,AM MNSF,2026-04-25 23:26:14,2026-04-26 00:18:52,00:52:38,53.10,49.10,0.00,'861919084308849,SOBT,2026-04-25 23:26:14,2026-04-26 00:00:00,"Level-1, Status-DIALING, Number-6392031410; Level-2, Status-DIALING, Number-8395061400; Level-3, Status-DIALING, Number-6397156643"
